Brotogeris chrysopterus
Brotogeris cyanoptera
Brotogeris jugularis
Brotogeris pyrrhopterus
Brotogeris sanctithomae
Brotogeris tirica
Brotogeris versicolurus
Bubalornis albirostris
Bubalornis niger
Bubo africanus
Bubo ascalaphus
Bubo bengalensis
Bubo bubo
Bubo capensis
Bubo coromandus
Bubo lacteus
Bubo leucostictus
Bubo nipalensis
Bubo philippensis
Bubo poensis
Bubo shelleyi
Bubo sumatranus
Bubo virginianus
Bubo vosseleri
Bubulcus ibis
Buccanodon duchaillui
Bucco capensis
Bucco macrodactylus
Bucco macrodactylus
Bucco noanamae
Bucco tamatia
Bucephala albeola
Bucephala clangula
Bucephala islandica
Buceros bicornis
Buceros hydrocorax
Buceros rhinoceros
Buceros vigil
Bucorvus abyssinicus
Bucorvus leadbeateri
Buettikoferella bivittata
Bulweria bulwerii
Bulweria fallax
Buphagus africanus
Buphagus erythrorhynchus
Burhinus bistriatus
Burhinus capensis
Burhinus giganteus
Burhinus grallarius
Burhinus oedicnemus
Burhinus recurvirostris
Burhinus senegalensis
Burhinus superciliaris
Burhinus vermiculatus
Busarellus nigricollis
Butastur indicus
Butastur liventer
Butastur rufipennis
Butastur teesa
Buteo albicaudatus
Buteo albigula
Buteo albonotatus
Buteo archeri
Buteo augur
Buteo auguralis
Buteo brachypterus
Buteo brachyurus
Buteo buteo
Buteo galapagoensis
Buteo hemilasius
Buteo jamaicensis
Buteo lagopus
Buteo leucorrhous
Buteo lineatus
Buteo magnirostris
Buteo oreophilus
Buteo platypterus
Buteo poecilochrous
Buteo polyosoma
Buteo regalis
Buteo ridgwayi
Buteo rufinus
Buteo rufofuscus
Buteo solitarius
Buteo swainsoni
Buteo ventralis
Buteogallus aequinoctialis
Buteogallus anthracinus
Buteogallus meridionalis
Buteogallus subtilis
Buteogallus urubitinga
Buthraupis aureodorsalis
Buthraupis eximia
Buthraupis montana
Buthraupis wetmorei
Butorides striatus
Butorides sundevalli
Butorides virescens
Cacatua alba
Cacatua ducorpsii
Cacatua galerita
Cacatua goffini
Cacatua haematuropygia
Cacatua leadbeateri
Cacatua moluccensis
Cacatua ophthalmica
Cacatua pastinator
Cacatua sanguinea
Cacatua sulphurea
Cacatua tenuirostris
Cacicus cela
Cacicus chrysonotus
Cacicus chrysopterus
Cacicus haemorrhous
Cacicus koepckeae
Cacicus melanicterus
Cacicus sclateri
Cacicus solitarius
Cacicus uropygialis
Cacomantis castaneiventris
Cacomantis flabelliformis
Cacomantis heinrichi
Cacomantis merulinus
Cacomantis passerinus
Cacomantis sepulcralis
Cacomantis sonneratii
Cacomantis variolosus
Cairina moschata
Cairina scutulata
Calamanthus
Calamanthus campestris
Calamanthus fuliginosus
Calamonastes fasciolatus
Calamonastes simplex
Calamonastes stierlingi
Calamospiza melanocorys
Calandrella acutirostris
Calandrella athensis
Calandrella blanfordi
Calandrella brachydactyla
Calandrella cheleensis
Calandrella cinerea
Calandrella erlangeri
Calandrella raytal
Calandrella rufescens
Calandrella somalica
Calcarius lapponicus
Calcarius mccownii
Calcarius ornatus
Calcarius pictus
Calicalicus madagascariensis
Calidris acuminata
Calidris alba
Calidris alpina
Calidris bairdii
Calidris canutus
Calidris ferruginea
Calidris fuscicollis
Calidris maritima
Calidris mauri
Calidris melanotos
Calidris minuta
Calidris minutilla
Calidris ptilocnemis
Calidris pusilla
Calidris ruficollis
Calidris subminuta
Calidris temminckii
Calidris tenuirostris
Caliechthrus leucolophus
Callacanthis burtoni
Callaeas cinerea
Callipepla californica
Callipepla douglasii
Callipepla gambelii
Callipepla squamata
Calliphlox amethystina
Calliphlox evelynae
Callocephalon fimbriatum
Callonetta leucophrys
Calochaetes coccineus
Calocitta colliei
Calocitta formosa
Caloenas nicobarica
Calonectris diomedea
Calonectris leucomelas
Caloperdix oculea
Calorhamphus fuliginosus
Calothorax lucifer
Calothorax pulcher
Calypte anna
Calypte costae
Calyptocichla serina
Calyptomena hosii
Calyptomena viridis
Calyptomena whiteheadi
Calyptophilus frugivorus
Calyptorhynchus banksii
Calyptorhynchus baudinii
Calyptorhynchus funereus
Calyptorhynchus lathami
Calyptorhynchus latirostris
Calyptura
Calyptura
Calyptura cristata
Camarhynchus heliobates
Camarhynchus pallidus
Camarhynchus parvulus
Camarhynchus pauper
Camarhynchus psittacula
Camaroptera
Camaroptera
Camaroptera brachyura
Camaroptera brevicaudata
Camaroptera chloronota
Camaroptera harterti
